epoch	loss	acc	val_loss	val_acc
0	0.36660027503967285	0.8919921517372131	0.19333218038082123	0.9502617716789246
1	0.1383369117975235	0.961597204208374	0.11745374649763107	0.963350772857666
2	0.08398252725601196	0.9749072790145874	0.09289287030696869	0.9712041616439819
3	0.06036767736077309	0.9821078181266785	0.06549038738012314	0.9808027744293213
4	0.044645607471466064	0.9869081377983093	0.0626538097858429	0.9851657748222351
5	0.03451162576675415	0.9895265102386475	0.05288520082831383	0.9904013872146606
6	0.028207387775182724	0.9914903044700623	0.06097495183348656	0.9851657748222351
7	0.027450628578662872	0.991708517074585	0.0478961206972599	0.9912739992141724
8	0.022308388724923134	0.9921448826789856	0.06749296188354492	0.9842932224273682
9	0.020254580304026604	0.993672251701355	0.052467018365859985	0.9842932224273682
10	0.015043910592794418	0.9958542585372925	0.049869224429130554	0.9912739992141724
11	0.013276481069624424	0.9962906241416931	0.04145955294370651	0.9921466112136841
12	0.012080157175660133	0.9962906241416931	0.045906130224466324	0.9904013872146606
13	0.01776833087205887	0.994545042514801	0.08195765316486359	0.9781849980354309
14	0.01847587712109089	0.9932358860969543	0.06111302226781845	0.988656222820282
15	0.015131889842450619	0.9943268895149231	0.04447101429104805	0.9930192232131958
16	0.009292193688452244	0.9975998401641846	0.044972214847803116	0.9930192232131958
17	0.006360870786011219	0.9978180527687073	0.04632530361413956	0.9938917756080627
18	0.006591422948986292	0.9973816275596619	0.04986869543790817	0.9895287752151489
19	0.010853211395442486	0.9967270493507385	0.04918622598052025	0.9947643876075745
20	0.00597836310043931	0.9982544183731079	0.03774635121226311	0.9938917756080627
21	0.0013811656972393394	1.0	0.04646635800600052	0.9912739992141724
22	0.0026996489614248276	0.9993454217910767	0.04615091159939766	0.9912739992141724
23	0.002290303586050868	0.9995636343955994	0.04835708066821098	0.9930192232131958
24	0.001045079086907208	1.0	0.04258136823773384	0.9921466112136841
25	0.0008383579552173615	1.0	0.04401037096977234	0.9912739992141724
26	0.0009398825350217521	1.0	0.043866902589797974	0.9930192232131958
27	0.0006075898418202996	1.0	0.04554349184036255	0.9921466112136841
28	0.001808722736313939	0.9997817873954773	0.04360518604516983	0.9956369996070862
29	0.018277769908308983	0.9932358860969543	0.1073392853140831	0.9729493856430054
30	0.029739413410425186	0.9895265102386475	0.06220948323607445	0.9860383868217468
31	0.01821441948413849	0.993672251701355	0.053835414350032806	0.9895287752151489
32	0.03797394782304764	0.9932358860969543	0.051165543496608734	0.9921466112136841
33	0.004671289585530758	0.9989089965820312	0.03882882371544838	0.9938917756080627
34	0.004136818926781416	0.9986908435821533	0.0506039522588253	0.9912739992141724
35	0.0016270667547360063	0.9997817873954773	0.043177440762519836	0.9921466112136841
36	0.004214427433907986	0.9984726309776306	0.04435054212808609	0.9947643876075745
37	0.004033816047012806	0.999127209186554	0.044707290828228	0.9912739992141724
38	0.00472013745456934	0.9982544183731079	0.037470631301403046	0.9930192232131958
39	0.0019085105741396546	0.9995636343955994	0.05343718081712723	0.9921466112136841
40	0.002065591048449278	0.999127209186554	0.05719517916440964	0.9921466112136841
41	0.014317682944238186	0.9943268895149231	0.05817357450723648	0.988656222820282
42	0.011363605037331581	0.9971634149551392	0.04601387679576874	0.9930192232131958
43	0.001860904274508357	0.9995636343955994	0.04525867849588394	0.9921466112136841
44	0.0014368136180564761	0.9995636343955994	0.04495012015104294	0.9947643876075745
45	0.0012600619811564684	0.9997817873954773	0.03622988238930702	0.9947643876075745
46	0.0014624996110796928	0.9995636343955994	0.039019741117954254	0.9947643876075745
47	0.001723462832160294	0.9993454217910767	0.04410553723573685	0.9938917756080627
48	0.00024295656476169825	1.0	0.047839753329753876	0.9930192232131958
49	0.0003691414895001799	1.0	0.047062620520591736	0.9930192232131958
